id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",Alianza Frente para la Victoria,0.74,3.51,3.65,0.3,67.55,24.05,0.19,27,128,133,11,2460,876,7,61.76,5988,3698,1.22,0.05,0.24,45,2,9,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",Alianza Frente para la Victoria,0.55,0.81,1.07,0.36,89.71,7.16,0.33,34,50,66,22,5510,440,20,60.02,10325,6197,0.66,0.0,0.23,41,0,14,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",Alianza Frente para la Victoria,0.75,0.84,1.7,0.32,93.74,2.42,0.23,42,47,95,18,5237,135,13,67.85,8267,5609,0.21,0.0,0.18,12,0,10,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",Alianza Frente para la Victoria,0.58,2.88,2.66,0.53,88.14,4.91,0.3,52,257,237,47,7866,438,27,61.45,14665,9012,0.69,0.01,0.28,62,1,25,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",Alianza Frente para la Victoria,1.66,3.4,2.62,1.3,84.12,6.23,0.67,1108,2270,1752,865,56173,4158,448,71.56,94877,67897,1.06,0.04,0.55,722,26,375,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",Alianza Frente para la Victoria,2.57,7.8,8.82,0.85,66.3,12.89,0.78,106,322,364,35,2736,532,32,71.27,5903,4207,1.66,0.0,0.24,70,0,10,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",Alianza Frente para la Victoria,2.49,6.76,4.61,1.81,73.84,9.47,1.01,3330,9047,6171,2424,98750,12667,1355,72.68,187420,136222,1.1,0.04,0.68,1502,53,923,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",Alianza Frente para la Victoria,1.73,4.94,2.71,0.89,82.84,6.14,0.75,308,882,484,159,14782,1095,133,73.82,24641,18190,1.24,0.06,0.61,225,11,111,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",Alianza Frente para la Victoria,0.53,1.3,1.94,0.35,91.17,4.39,0.33,63,153,229,41,10763,518,39,65.69,18149,11922,0.75,0.05,0.17,90,6,20,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",Alianza Frente para la Victoria,0.46,0.69,1.22,0.31,94.61,2.28,0.43,28,42,74,19,5736,138,26,50.13,12181,6106,0.47,0.02,0.21,29,1,13,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",Alianza Frente para la Victoria,0.72,1.24,1.5,0.35,92.66,3.4,0.14,25,43,52,12,3220,118,5,69.17,5099,3527,1.05,0.03,0.4,37,1,14,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",Alianza Frente para la Victoria,0.92,1.31,1.69,0.41,93.48,1.91,0.28,60,85,110,27,6083,124,18,71.2,9202,6552,0.46,0.0,0.23,30,0,15,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",Alianza Frente para la Victoria,0.5,1.28,2.39,0.19,91.65,3.83,0.16,34,86,161,13,6182,258,11,66.81,10216,6825,0.89,0.09,0.19,61,6,13,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",Alianza Frente para la Victoria,1.16,2.05,2.51,0.79,84.9,6.46,2.11,101,179,219,69,7396,563,184,62.84,14016,8808,0.84,0.03,0.23,74,3,20,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",Alianza Frente para la Victoria,0.53,4.27,4.0,0.27,68.0,22.13,0.8,2,16,15,1,255,83,3,31.33,1251,392,3.32,0.0,1.02,13,0,4,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",Alianza Frente para la Victoria,0.8,2.1,2.54,0.42,87.1,5.67,1.36,112,293,355,58,12157,792,190,67.81,20823,14120,0.91,0.06,0.18,128,9,26,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",Alianza Frente para la Victoria,1.86,4.01,2.73,0.74,80.05,9.94,0.67,138,297,202,55,5933,737,50,69.87,10770,7525,1.3,0.0,0.2,98,0,15,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",Alianza Frente para la Victoria,0.73,1.59,2.08,0.26,90.87,4.23,0.24,67,147,192,24,8379,390,22,65.59,14211,9321,0.84,0.0,0.24,78,0,22,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",Alianza Frente para la Victoria,1.37,4.42,8.39,0.87,76.4,8.12,0.42,55,177,336,35,3059,325,17,52.77,7777,4104,1.49,0.0,0.95,61,0,39,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",Alianza Frente para la Victoria,1.14,2.22,2.73,0.83,87.99,4.55,0.54,314,612,754,228,24274,1256,149,73.76,37934,27981,0.82,0.05,0.54,229,13,152,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",Alianza Frente para la Victoria,2.49,15.93,8.17,0.46,58.94,13.27,0.75,60,384,197,11,1421,320,18,68.08,3593,2446,1.14,0.08,0.2,28,2,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",Alianza Frente para la Victoria,1.87,2.29,3.03,0.63,85.98,5.7,0.49,389,476,630,130,17848,1183,102,71.23,29536,21039,0.95,0.04,0.35,200,8,73,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",Alianza Frente para la Victoria,0.55,0.98,1.77,0.26,92.84,3.34,0.26,23,41,74,11,3888,140,11,54.57,7763,4236,0.97,0.05,0.12,41,2,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",Alianza Frente para la Victoria,0.74,0.87,1.85,0.24,93.35,2.67,0.29,28,33,70,9,3535,101,11,58.64,6514,3820,0.6,0.0,0.26,23,0,10,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",Alianza Frente para la Victoria,1.02,1.2,3.65,0.42,91.03,2.57,0.12,17,20,61,7,1523,43,2,64.12,2645,1696,1.06,0.0,0.29,18,0,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",Alianza Frente para la Victoria,0.75,0.82,2.06,0.21,91.85,4.19,0.13,29,32,80,8,3574,163,5,67.41,5848,3942,0.84,0.03,0.43,33,1,17,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",Alianza Frente para la Victoria,1.38,3.67,2.72,0.57,85.42,5.75,0.49,238,634,469,98,14751,993,85,65.5,26748,17521,1.18,0.02,0.25,207,3,43,SANTIAGO DEL ESTERO
