id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,17.54,14.02,3.62,29.77,12.79,1.66,14.55,5.56,0.23,0.26,12521,10005,2585,21255,9130,1186,10389,3970,162,183,74.87,98654,73866,1.37,0.09,1.89,1014.0,70.0,1396.0,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,13.52,6.16,0.93,50.52,8.86,1.01,16.37,2.07,0.23,0.31,3645,1662,251,13623,2390,272,4414,559,63,84,80.25,34670,27821,1.39,0.1,1.59,387.0,28.0,443.0,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,20.66,11.02,3.66,38.51,6.59,1.86,12.9,3.95,0.31,0.54,22788,12154,4038,42486,7272,2048,14227,4359,342,600,78.38,146566,114873,1.22,0.22,2.53,1400.0,249.0,2910.0,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.4,7.87,3.49,43.66,6.0,1.59,11.06,3.24,0.27,0.41,33702,11841,5243,65682,9026,2395,16645,4875,412,617,79.6,197116,156896,1.16,0.25,2.7,1816.0,398.0,4244.0,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,23.71,6.3,1.87,46.85,3.67,0.66,14.05,1.97,0.29,0.64,5513,1464,434,10894,853,154,3268,458,67,148,81.84,29669,24282,1.73,0.2,2.31,419.0,48.0,562.0,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,10.41,1.57,0.74,44.21,1.57,0.27,39.95,0.69,0.18,0.42,645,97,46,2740,97,17,2476,43,11,26,85.29,7517,6411,2.37,0.11,0.84,152.0,7.0,54.0,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.07,5.83,3.29,51.0,4.1,1.49,9.99,2.45,0.3,0.47,21314,5901,3332,51582,4146,1504,10099,2479,303,477,78.5,134425,105525,1.44,0.15,2.57,1517.0,156.0,2715.0,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,15.82,2.18,1.57,66.15,1.87,0.69,9.7,1.35,0.26,0.41,3184,438,317,13314,377,139,1953,271,52,82,83.96,25106,21080,1.66,1.39,1.48,349.0,292.0,312.0,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.9,8.49,2.85,44.65,6.44,1.44,9.14,3.32,0.31,0.44,14334,5316,1786,27945,4033,899,5719,2079,195,275,81.32,80457,65429,1.56,0.12,2.68,1020.0,76.0,1752.0,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.34,6.2,3.09,50.44,4.97,1.28,8.57,2.36,0.3,0.45,20371,5649,2818,45996,4528,1168,7816,2156,274,409,82.91,115465,95734,1.79,0.26,2.7,1711.0,252.0,2586.0,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,10.17,4.11,1.17,65.13,3.19,0.47,12.73,2.03,0.34,0.66,1519,614,175,9728,476,70,1901,303,51,99,77.98,19923,15536,2.68,0.1,1.09,416.0,15.0,169.0,MENDOZA
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.75,7.98,1.39,45.7,3.56,0.53,16.61,1.84,0.25,0.39,6684,2454,427,14044,1094,163,5105,565,76,121,81.07,39359,31908,1.53,0.11,2.04,487.0,36.0,652.0,MENDOZA
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.75,4.79,1.14,51.02,4.47,1.18,11.65,2.29,0.28,1.44,3775,832,198,8857,776,204,2023,397,48,250,82.77,21799,18042,2.13,0.08,1.57,385.0,14.0,283.0,MENDOZA
MENDOZA_SAN MARTIN,"San Martin, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.72,5.79,2.26,51.03,4.46,0.79,11.05,2.19,0.31,0.39,14191,3781,1477,33341,2917,513,7220,1434,201,258,81.45,83323,67869,1.49,0.11,2.14,1009.0,73.0,1454.0,MENDOZA
MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,16.95,4.63,1.14,54.79,7.57,0.8,10.74,2.57,0.37,0.44,16831,4600,1129,54391,7511,797,10666,2547,367,438,78.02,131715,102765,1.35,0.05,1.99,1383.0,56.0,2049.0,MENDOZA
MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,13.99,2.12,0.97,61.03,2.57,0.84,16.96,0.95,0.16,0.43,1243,188,86,5424,228,75,1507,84,14,38,81.59,11225,9159,1.67,0.22,1.08,153.0,20.0,99.0,MENDOZA
MENDOZA_TUNUYAN,"Tunuyan, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,19.61,5.65,2.14,48.92,4.94,1.06,14.3,2.32,0.38,0.67,5103,1471,558,12731,1286,275,3722,603,100,175,81.07,33177,26896,1.35,0.06,1.83,364.0,17.0,491.0,MENDOZA
MENDOZA_TUPUNGATO,"Tupungato, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.61,2.87,1.33,50.19,5.0,0.98,14.55,2.57,0.39,0.51,3340,443,206,7756,773,151,2248,397,61,79,79.81,20210,16129,2.11,0.01,2.06,341.0,2.0,332.0,MENDOZA
