Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
402.0,SALTA_ANTA,"Anta, Salta",FRENTE DE TODOS,5.91,0.88,63.57,1.67,27.3,0.68,1906,283,20512,539,8808,220,71.33,45880,32726,0.75,0.08,0.57,245,26,187,SALTA
403.0,SALTA_CACHI,"Cachi, Salta",FRENTE DE TODOS,13.34,1.52,53.03,0.87,29.8,1.44,675,77,2684,44,1508,73,75.4,6849,5164,1.12,0.04,0.83,58,2,43,SALTA
404.0,SALTA_CAFAYATE,"Cafayate, Salta",FRENTE DE TODOS,9.59,1.69,57.45,2.18,27.45,1.65,954,168,5716,217,2731,164,78.99,12839,10142,0.96,0.13,0.81,97,13,82,SALTA
405.0,SALTA_CAPITAL,"Capital, Salta",JUNTOS POR EL CAMBIO,13.37,2.16,35.35,2.41,44.43,2.28,43857,7076,115941,7904,145715,7490,79.02,423573,334704,0.74,0.19,1.08,2488,623,3610,SALTA
406.0,SALTA_CERRILLOS,"Cerrillos, Salta",FRENTE DE TODOS,13.47,1.55,43.52,2.01,37.79,1.66,3674,422,11875,549,10311,453,80.92,34233,27703,0.55,0.15,0.81,153,41,225,SALTA
407.0,SALTA_CHICOANA,"Chicoana, Salta",FRENTE DE TODOS,12.12,1.59,43.55,1.29,40.22,1.22,1764,232,6341,188,5856,178,81.72,18123,14810,0.7,0.2,0.79,104,30,117,SALTA
408.0,SALTA_GENERAL GUEMES,"General Guemes, Salta",FRENTE DE TODOS,9.85,1.79,58.44,1.82,26.51,1.59,2948,536,17499,546,7938,475,78.31,38888,30452,0.61,0.09,0.98,185,28,297,SALTA
409.0,SALTA_GUACHIPAS,"Guachipas, Salta",FRENTE DE TODOS,18.59,1.22,42.42,0.9,36.09,0.77,411,27,938,20,798,17,76.11,2963,2255,1.02,0.09,0.84,23,2,19,SALTA
410.0,SALTA_IRUYA,"Iruya, Salta",FRENTE DE TODOS,8.02,1.25,77.61,1.25,11.24,0.63,192,30,1858,30,269,15,66.14,3674,2430,0.95,0.21,0.33,23,5,8,SALTA
411.0,SALTA_LA CALDERA,"La Caldera, Salta",JUNTOS POR EL CAMBIO,12.06,1.52,34.98,1.86,47.96,1.62,1275,161,3699,197,5072,171,80.93,13275,10744,0.66,0.14,0.77,71,15,83,SALTA
412.0,SALTA_LA CANDELARIA,"La Candelaria, Salta",FRENTE DE TODOS,15.12,1.21,56.7,0.54,25.47,0.96,613,49,2299,22,1033,39,79.53,5155,4100,0.44,0.12,0.54,18,5,22,SALTA
413.0,SALTA_LA POMA,"La Poma, Salta",FRENTE DE TODOS,15.23,2.46,59.72,1.18,19.94,1.47,155,25,608,12,203,15,72.6,1427,1036,1.25,0.0,0.48,13,0,5,SALTA
414.0,SALTA_LA VIÑA,"La Viña, Salta",FRENTE DE TODOS,13.99,0.9,50.1,0.81,33.11,1.09,773,50,2769,45,1830,60,78.68,7133,5612,0.59,0.11,0.82,33,6,46,SALTA
415.0,SALTA_LOS ANDES,"Los Andes, Salta",FRENTE DE TODOS,33.2,1.95,36.21,1.6,25.24,1.8,1310,77,1429,63,996,71,70.42,5709,4020,0.7,0.2,0.95,28,8,38,SALTA
416.0,SALTA_METAN,"Metan, Salta",FRENTE DE TODOS,8.24,1.36,53.47,1.66,33.36,1.9,2033,336,13186,409,8227,468,74.94,33476,25088,0.63,0.06,1.02,158,14,257,SALTA
417.0,SALTA_MOLINOS,"Molinos, Salta",FRENTE DE TODOS,20.45,0.71,49.0,0.62,28.13,1.09,693,24,1660,21,953,37,74.3,4619,3432,0.87,0.06,0.35,30,2,12,SALTA
418.0,SALTA_ORAN,"Oran, Salta",FRENTE DE TODOS,7.74,1.78,59.93,2.71,26.28,1.55,6064,1397,46927,2125,20579,1210,71.97,110885,79804,0.73,0.23,0.92,583,185,734,SALTA
419.0,SALTA_RIVADAVIA,"Rivadavia, Salta",FRENTE DE TODOS,4.09,0.52,83.47,1.21,10.29,0.42,624,80,12726,184,1569,64,62.6,24713,15471,0.39,0.15,0.91,60,23,141,SALTA
420.0,SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",FRENTE DE TODOS,8.85,1.27,58.25,0.82,29.5,1.31,1593,229,10484,148,5309,235,75.1,24366,18298,0.7,0.09,0.85,128,17,155,SALTA
421.0,SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",FRENTE DE TODOS,12.83,1.65,41.65,3.13,38.78,1.96,3410,438,11074,831,10311,522,79.83,34052,27183,0.73,0.19,1.28,198,51,348,SALTA
422.0,SALTA_SAN CARLOS,"San Carlos, Salta",FRENTE DE TODOS,9.86,0.9,63.92,1.05,23.25,1.02,405,37,2626,43,955,42,73.2,5687,4163,0.74,0.02,0.55,31,1,23,SALTA
423.0,SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",FRENTE DE TODOS,4.87,1.46,70.81,2.1,19.61,1.14,4196,1261,61045,1814,16905,987,71.1,123541,87834,0.68,0.5,0.67,597,440,589,SALTA
424.0,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",FRENTE DE TODOS,8.52,2.08,72.44,0.57,15.25,1.14,90,22,765,6,161,12,55.02,1954,1075,0.65,0.28,0.84,7,3,9,SALTA
