id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
SAN LUIS_AYACUCHO,"Ayacucho, San Luis",FRENTE DE TODOS,5.25,1.34,64.99,2.28,0.28,23.82,0.62,0.25,0.17,0.98,647,165,8008,281,35,2935,77,31,21,121,72.33,17714,12813,2.54,0.09,1.2,326,12,154,SAN LUIS
SAN LUIS_BELGRANO,"Belgrano, San Luis",FRENTE DE TODOS,5.38,1.59,68.22,2.15,0.3,20.39,0.78,0.19,0.15,0.85,145,43,1840,58,8,550,21,5,4,23,67.92,4084,2774,1.62,0.4,0.76,45,11,21,SAN LUIS
SAN LUIS_CHACABUCO,"Chacabuco, San Luis",FRENTE DE TODOS,7.63,1.84,54.28,2.41,0.19,31.15,0.6,0.3,0.17,1.43,1061,256,7552,335,26,4334,84,42,23,199,73.73,19522,14394,1.93,0.06,1.35,278,9,195,SAN LUIS
SAN LUIS_GOBERNADOR DUPUY,"Gobernador Dupuy, San Luis",FRENTE DE TODOS,4.44,1.18,54.78,1.6,0.25,35.57,0.65,0.22,0.17,1.15,289,77,3564,104,16,2314,42,14,11,75,64.67,10469,6770,3.07,0.03,0.8,208,2,54,SAN LUIS
SAN LUIS_JUNIN,"Junin, San Luis",FRENTE DE TODOS,8.8,3.09,46.53,3.02,0.23,35.08,0.81,0.27,0.12,2.05,1785,626,9434,612,46,7112,165,55,25,416,72.19,29168,21057,1.89,0.11,1.71,397,24,360,SAN LUIS
SAN LUIS_GENERAL PEDERNERA,"Pedernera, San Luis",JUNTOS POR EL CAMBIO,8.98,2.85,37.78,4.43,0.43,41.4,0.87,0.4,0.26,2.61,6721,2135,28281,3316,319,30993,649,299,193,1953,74.78,104102,77844,2.05,0.06,1.73,1594,46,1345,SAN LUIS
SAN LUIS_CORONEL PRINGLES,"Pringles, San Luis",FRENTE DE TODOS,6.55,1.94,54.09,2.55,0.25,32.27,0.59,0.28,0.23,1.25,570,169,4710,222,22,2810,51,24,20,109,75.82,12022,9115,2.4,0.21,1.87,219,19,170,SAN LUIS
SAN LUIS_JUAN MARTIN DE PUEYRREDON,"Pueyrredon, San Luis",FRENTE DE TODOS,10.02,3.37,44.26,4.3,0.44,33.23,1.05,0.41,0.28,2.64,12796,4304,56491,5491,558,42416,1343,525,353,3366,73.08,181977,132989,2.1,0.12,1.8,2794,158,2394,SAN LUIS
SAN LUIS_LIBERTADOR GENERAL SAN MARTIN,"San Martin, San Luis",FRENTE DE TODOS,4.83,1.03,71.74,1.95,0.14,18.94,0.38,0.14,0.07,0.79,141,30,2094,57,4,553,11,4,2,23,70.73,4233,2994,1.5,0.07,0.94,45,2,28,SAN LUIS
